"genes","wildtype","Biofuel.Production.Strain","pstats","fold.change","l2fc","neg_pL10"
"YNR018W",100.942740086427,128.133800072072,0.384398470060492,1.26937113023051,0.344113936368188,0.415218349530049
"YPL144W",16.6654256434432,11.6583641036892,0.496737100215529,0.699553935982189,-0.51549280065068,0.303873402281471
"YFR047C",76.1313342158687,132.520427486183,0.0678782720898187,1.74068179483659,0.799652495367491,1.16826922161966
"YHR078W",41.4911775076816,95.0527920993339,0.00890095467539935,2.29091575146876,1.19592440444219,2.0505634104312
"YJR115W",9.18491989415531,100.247549630244,0.00103096653344808,10.9143629759945,3.44815602382412,2.98675543226714
"YLR355C",268.444772139811,465.255939671025,0.0372372267273664,1.73315328870965,0.79339925927661,1.42902267091976
"YGR099W",16.4082261121164,30.380071613534,0.0290948992588927,1.85151468574048,0.888705992642647,1.53618314221289
"YLR300W",235.029102802866,486.582678892349,0.0664116638100465,2.07030820051454,1.04984555335563,1.17775563925414
"YBL003C",198.571603686957,47.7178344976357,0.111557234324091,0.240305429435226,-2.05705884995356,0.952502261102604
"YJR140C",23.9576832443803,24.4123186979889,0.963132880792597,1.0189766034124,0.0271209263531791,0.0163137903273975
"YOR033C",16.0016173139555,42.7470186777581,0.00104464371610876,2.67141863469495,1.41760607663674,2.98103180382207
"YOR062C",26.0869427039683,20.6983635952335,0.781810197032416,0.793437691419658,-0.33381116207188,0.106898669429443
"YBR043C",33.7351667906439,82.3723626539805,0.00434399867259891,2.44173574611837,1.28790707485713,2.3621103161271
"YHR112C",62.6441331077262,131.869666171985,0.0517317198242074,2.10506011704584,1.07386143487146,1.28624308320415
"YLR011W",0.240314474927449,0,0.0598232383549122,0,-10,1.22313008141499
"YHR007C",515.687938191477,1112.80067981677,0.173388106068442,2.15789549726405,1.10962499956666,0.760980697205876
"YKR103W",8.01776084870755,20.7019253362468,0.00258041625943681,2.58200833460678,1.36849365760733,2.58831023024046
"YKR084C",41.683960214562,45.874701026672,0.709112453641126,1.10053605248971,0.138206407288677,0.149284887351274
"YER121W",2.33412245148925,5.51284364222229,0.0308569491823775,2.36184851343378,1.23991643470694,1.5106470147199
"YCR046C",66.7210286954238,89.2108612779357,0.478356952551262,1.33707262945804,0.41907783440136,0.320247909518428
"YKL204W",29.0905001161395,38.3053418985161,0.328529936618624,1.31676463950732,0.396997499155592,0.483425050104509
"YOR266W",14.2353830309314,20.3212280419765,0.288701690402758,1.42751536771588,0.513506276802238,0.539550673235869
"YDR393W",17.4173288256519,43.0550693078381,0.00271145116084837,2.47196741468344,1.30565972585376,2.5667982137493
