"genes","X30.deg","X15.deg","pstats","fold.change","l2fc","neg_pL10"
"YGL112C",34.351296397538,31.9204844027266,0.339970762551295,0.929236673728983,-0.105882001477993,0.468558430630158
"YMR244W",0.990723675940517,0.706347274291898,0.393066087402116,0.712960930928946,-0.488105073336546,0.405534424227371
"YPR049C",15.394264626163,11.1599498397775,0.100598200913618,0.724942055420487,-0.464062409688545,0.997409786082028
"YDL008W",11.5162571841397,9.13903957093715,0.0391027813341326,0.793577238230102,-0.333557448652861,1.40779235065768
"YBL050W",35.8278604718228,37.8705473164594,0.751877027009534,1.05701392206334,0.0799943787636055,0.123853184485997
"YJR086W",15.6239844704099,7.90949556322745,0.00761041645778831,0.506240618595542,-0.982104827076505,2.11859157708348
"YJR014W",29.1043662542369,35.3209160017921,0.110178540489374,1.2135950906215,0.279287154548659,0.957902984927024
"YHR050W",32.6965734559507,26.7630802404375,0.03166219194623,0.818528592193097,-0.28889528222614,1.49945902260063
"YGR257C",17.8515003808124,16.564163672643,0.607840279099807,0.927886357969491,-0.107979971466954,0.216210524375894
"YPL018W",7.4743294202519,3.82240041807058,0.0206061014619989,0.511403793324078,-0.967465233115897,1.68600416609047
"YPL185W",0.47155420458086,0.581867960482571,0.671153529216406,1.23393653334035,0.303268192388592,0.173178121761554
"YJR041C",30.4408909314506,34.1446494406937,0.390012331383759,1.12167050292922,0.165648938332114,0.408921661262589
"YDL248W",4.02446628135615,1.80308500149507,0.0322783765549791,0.448030838237629,-1.15833005760154,1.49108831629645
"YKR028W",47.8043597649191,46.7465706585982,0.785270717049015,0.977872539000153,-0.0322816658410217,0.104980597200857
"YKL037W",1.24628041808279,0.606291394847321,0.0660406359199017,0.486480719788574,-1.03954546566021,1.18018875347141
"YMR286W",6.15678466218497,10.5716400655706,0.136191757785315,1.71707159590975,0.779950195956513,0.865849174777637
"YDL175C",10.3403285025058,7.704523501858,0.028964167849074,0.74509465535751,-0.424504380533469,1.53813894442185
"YKL168C",17.3077415503421,12.0391691106732,0.0357912972330177,0.695594458448291,-0.523681655631326,1.44622256059487
"YFL026W",245.892101646597,173.571095057279,0.0794004047128817,0.70588316540049,-0.50249868001119,1.10017728391896
"YDL102W",18.8161443457066,16.3352988640546,0.0555142802414171,0.868153356177985,-0.203978182799239,1.25559528656536
"YGL029W",8.14723113539172,14.0474092189506,0.0969125964154196,1.72419426741539,0.785922334083082,1.01361977095574
"YDL128W",55.7351835748662,45.3187181537473,0.047562267065343,0.813107901454617,-0.298481280638477,1.32273745282325
"YPL098C",11.4777089479294,10.0668099233008,0.245801415018999,0.87707485605103,-0.1892281167043,0.609415621314601
"YMR033W",29.2387384039507,28.6644313478588,0.916767327873327,0.98035800833273,-0.0286194043051591,0.0377408726641693
"YPR003C",16.0785359144067,7.30650633281623,0.0152898059932987,0.45442609773129,-1.13788240356075,1.815598025155
"YGR262C",18.0466771127209,18.8072860242168,0.701938508742788,1.04214675680986,0.0595584545966013,0.153700931293811
"YDR202C",11.1726971104927,8.90131237747734,0.28864311474121,0.796702200860505,-0.327887534571243,0.539638797651104
"YGR215W",7.1403450659918,8.87728786919488,0.117186994421954,1.24325754387919,0.314125185199859,0.931120584258142
"YNL013C",0.152481913391514,0.0916957004473127,0.248337790115685,0.601354602705397,-0.73371213439792,0.604957187856146
"YDR253C",6.10996884727546,2.49299119472422,0.00605797577131168,0.408020279159997,-1.29328723701289,2.21767246794715
"YCR082W",18.6756591473739,21.4714697700913,0.385968644569113,1.14970345092802,0.201261787215752,0.413447975234276
"YJL223C",0,0,NA,NA,NA,NA
"YOR001W",36.6214511816358,39.7103644565456,0.436386953614427,1.08434710191001,0.116826640500043,0.360128241717881
"YKL088W",19.9895547291486,19.4512773502842,0.83547650681576,0.9730720675794,-0.0393814371685925,0.0780657577439319
"YLR276C",47.0101865822579,73.3718134269809,0.0115199316020625,1.56076413988691,0.642252536082609,1.93855009946619
"YJR154W",6.68532535379996,4.1379572252322,0.143824323701773,0.618961233185184,-0.692079041575309,0.842167659459797
"YNL140C",0.0349596956660605,0.0471161389266472,0.793492609789187,1.34772737659694,0.430528692210198,0.100457113701473
"SCER_lnc0514",4.11931902590601,2.01628027618705,0.000496779905535777,0.489469318473965,-1.03070966503334,3.30383597944063
"YOL095C",10.9225795943791,6.37596909321954,0.00510758441387772,0.583742058194815,-0.776597077783943,2.29178444698071
"YNR022C",10.3921347586277,12.9555959015833,0.401375734950658,1.24667320069415,0.318083330823045,0.39644888619723
"YDR409W",13.3067455297086,9.63265692121948,0.0144699794550833,0.72389277300852,-0.466152081702492,1.83953208550503
"YBR221C",108.455961116816,108.230775614133,0.983445325646397,0.997923714839054,-0.00299856031665602,0.00724977954749236
"YAL005C",56.440426357978,73.5957053322114,0.27738750723954,1.30395374523617,0.382892694184051,0.556913102235716
"YDR097C",22.6223698109526,17.0601642652979,0.020101354798544,0.754128077998187,-0.407118529217003,1.69677467085298
"YBR174C",0.0859553373628651,0.046146406096633,0.385832912258424,0.536864929071518,-0.897368931574287,0.413600728992374
"YJL121C",41.6193371478896,38.8293997447472,0.578405354297053,0.932965357107234,-0.100104583003787,0.237767695431884
"YKL008C",54.8541436896326,38.6158448573803,0.00255039658697275,0.70397315972829,-0.506407670378572,2.5933922814712
"YBR103W",24.6327229252423,20.1051485320499,0.00750259067962427,0.816196755554264,-0.293011119105215,2.12478874679649
"YNR004W",5.18113667041926,4.7047708356136,0.619959427499056,0.908057658944729,-0.139144187643649,0.207636731453097
"YPL032C",28.8187692117032,23.5871809472593,0.113079440803612,0.818465937042191,-0.289005719095572,0.946616347834677
"YHR064C",171.39581990164,218.616073381468,0.055133161942806,1.27550411385136,0.351067552035939,1.25858709957706
"YKL197C",13.5783323630852,10.8085223799622,0.0714573422373777,0.796012506612877,-0.329136996924178,1.14595314084987
"YGR202C",25.0797670601114,29.8172221598699,0.410207157601207,1.18889549844716,0.249621910627916,0.386996766006688
"YDR377W",33.5584101751331,29.3270599764453,0.549979241442118,0.873910886224782,-0.194441921061117,0.259653702318987
"YIR007W",11.5151854786191,5.62150793948212,0.00724094262266281,0.488182144344952,-1.03450856653619,2.14020489386174
"YPL045W",23.1782563130338,15.6275940955978,0.00445819588858561,0.674235105718887,-0.568676348122945,2.35084085297943
"YLR314C",53.1292724542053,43.9330185763568,0.277174081420719,0.826907965175409,-0.27420132845799,0.557247383087045
"YFR020W",6.88333948999432,6.63236254405294,0.601908471287714,0.963538490829022,-0.05358579534199,0.220469544351536
"YNL126W",21.3122466517435,11.9694978474133,0.00167481241394265,0.561625343540875,-0.83232005565556,2.77603382871775
"YOR327C",21.1204744576325,22.7001583485392,0.52337023647017,1.07479395853893,0.104060117038315,0.281190978876704
"YDR361C",26.2699271373198,45.058097086156,0.0627416903965484,1.7151968808526,0.778374187317735,1.20244378465001
"YOL139C",95.9646663008282,127.600266541868,0.0146056490322283,1.32965883653332,0.41105612694473,1.83547913948793
"YBR207W",29.6089838508697,26.814767328302,0.592274753619307,0.905629435422667,-0.143007244438232,0.227476779257594
"YNL269W",0.644288926980074,0.528851245171,0.595130561850491,0.820829325206385,-0.284845820845328,0.225387746757188
"YDR532C",10.4922094774899,6.32196107110812,0.027726450185478,0.602538586812561,-0.730874459817702,1.55710572954021
"YKL210W",105.207127919379,106.673231587576,0.906407071363102,1.0139354024503,0.0199657415589662,0.0426767149694657
"YER146W",21.9373168786316,24.0945259075623,0.50928555300676,1.09833513555306,0.135318331781972,0.293038643357368
"YHR159W",10.7655149189684,6.60346306662218,0.0230888613595122,0.613390359525409,-0.705122602514872,1.63659748403709
"YPL132W",13.5158738652219,9.89136936609879,0.0989465016001416,0.731833506640704,-0.450412624608346,1.00459955630966
"YIL114C",13.3009499465489,13.163266722895,0.909947222025077,0.98964861726364,-0.0150117193080357,0.0409837965228512
"YJL089W",2.77267981546367,1.77153937411854,0.171721456261114,0.638926775547031,-0.646277494870691,0.765175437200027
"YMR301C",23.9395856188101,22.4925499318925,0.563767407852596,0.93955468946043,-0.0899509546182946,0.248900034883201
"YBL029W",11.30158002442,4.61738085928638,0.0320243664323954,0.408560648096048,-1.29137784218853,1.49451945354694
"YMR188C",17.2423851197922,13.743482631059,0.386950775105166,0.797075493649839,-0.327211721792994,0.412344279063568
"YGR154C",6.76905899421054,5.18774913245464,0.202896598643725,0.766391478770038,-0.383846574529021,0.69272523341339
"YOR389W",5.31094818789168,4.69161095957105,0.438502228670015,0.883384810694888,-0.178886068626066,0.358028195008021
"YLR130C",119.616595853079,46.7161987244487,0.00165326612414372,0.39054947510652,-1.35642277323059,2.78165723297148
"YER022W",24.0716435937573,15.8959816802535,0.0181413623924525,0.660361292669518,-0.598672536281143,1.74133010110687
"YBR140C",36.3854967289245,29.1987832961669,0.252100681814072,0.802484119255007,-0.3174552525574,0.59842597975914
"YKR070W",21.0029892259678,16.012132324675,0.00429143356788171,0.762373972219051,-0.391429229038619,2.36739760603914
"YDL016C",9.30313095267064,8.7238495606565,0.802007953356842,0.937732641305254,-0.0927514429826148,0.0958213248805967
"YMR205C",174.349393894987,162.653452913696,0.313205669886995,0.9329166524758,-0.100179899588537,0.504170384614265
"YNL203C",0.510560529298205,0.136472359494924,0.00233297993697125,0.267299079469604,-1.90347322568244,2.63208899601128
"YJL185C",5.96517180489715,4.12587206450217,0.0206262961377939,0.69166022361921,-0.531864603388208,1.6855787512481
"YML017W",20.0151237155216,15.7054838411518,0.11422471429703,0.784680827577014,-0.349822144205311,0.942239919543901
"YKR087C",18.4426184565047,17.8367653888988,0.754021854393988,0.967149292328812,-0.0481894888688768,0.122616066457591
"YOR232W",31.254406410534,41.9989296533693,0.245929833073808,1.34377626955071,0.426292958296587,0.609188784992668
"YGR281W",38.9101422598653,39.1628746797476,0.974608482990878,1.0064952838824,0.00934041226380522,0.0111698128397076
"YGR236C",0.428547650816706,0.247524158660138,0.166773754553421,0.577588415636903,-0.791886287687883,0.777872293922847
"YKR091W",12.5493133959206,3.46387986106904,0.027107635764217,0.276021464424902,-1.85714763435025,1.56690835845526
"YHL013C",12.6261379847373,18.2740637184623,0.0620346803439661,1.44732013388039,0.533384068019464,1.20736545128905
"YMR185W",23.6017690382402,22.4405000620443,0.751535562458453,0.950797375641022,-0.0727901736799099,0.124050463894044
"YOR309C",7.85508803411318,10.0467494575418,0.186253348538346,1.27901169457435,0.355029455484043,0.729895910586898
"YBR097W",19.6507909648849,11.4275030955584,0.0221897759306592,0.581528912295635,-0.78207717388773,1.65384708319249
"YMR227C",13.2171792098244,13.2893199295533,0.967643898845734,1.00545810256361,0.0078529657973605,0.0142844373399236
"YDR522C",2.46613404444621,1.96926268602388,0.336136654900205,0.798522160812266,-0.324595648615518,0.473484126171116
"YPL221W",66.2824685163492,72.5095753419188,0.687068731887363,1.09394802222904,0.129544191646136,0.162999815507662
"YPL274W",73.1562502004494,29.5628478007844,0.00467870939848713,0.404105564730036,-1.30719587661729,2.3298739286383
"YEL051W",66.8528158228766,78.7698518556158,0.247654924433887,1.17825780239852,0.236655234881282,0.606153031973063
"YOL004W",50.183970395757,38.9617846224678,0.0962149987866592,0.776379077127823,-0.365166855932467,1.01675722128302
"YGR014W",51.2757136402062,48.7814820396578,0.683518246288495,0.951356472226793,-0.0719420762499334,0.165249887597052
"YGL050W",13.7388047602113,12.4464168872538,0.295184901878092,0.905931564243466,-0.142526024368252,0.529905859581782
"YER179W",3.95923242641119,3.3747755242976,0.491677211688028,0.852381260010197,-0.230429219724926,0.308319919973999
"YMR150C",12.8046291637865,11.8121893140867,0.519760038637533,0.922493667172605,-0.116389087638488,0.284197113958428
"YFL007W",51.989015970558,52.9681739618929,0.892717772093687,1.01883393969006,0.0269189249985615,0.0492858192696115
"YGL182C",0.25532282313052,0.0862225314163419,0.0244514881128754,0.337700055009439,-1.56618568053505,1.61169470465719
"YCR012W",535.558253654979,575.236822765408,0.776531635670312,1.07408824126906,0.103112522198357,0.109840846545624
"YPL084W",29.7286943663437,20.330611539302,0.0408054525965144,0.683871659103825,-0.548202492213877,1.3892818007739
"YDR354W",28.8960819824813,31.1113042407146,0.344988040776054,1.07666168235459,0.106564985381679,0.462195959752784
"YDR301W",21.1265227881686,19.0969792498612,0.306097299558677,0.903933857991813,-0.145710882244934,0.514140501803967
"YJL053W",17.9782223070379,12.4693334679236,0.0141869899073927,0.693579890990794,-0.527866023877234,1.84810974022137
"YPR104C",26.0997468231758,22.4992220998756,0.384302833699447,0.862047523001141,-0.214160690412645,0.415326413205451
"YPR151C",0.305639072407599,0.126298656736051,0.0160344665681729,0.413228111645424,-1.27498969172046,1.79494548352802
"YNL332W",0.307042489126045,0.194063666635979,0.380681382080224,0.632041732036354,-0.661908276019462,0.419438362632814
"YML028W",262.312312235298,247.935947583236,0.644734704616356,0.945193710010965,-0.0813180662592483,0.190618952066347
"YLL001W",30.8110746467475,22.287657636144,0.0824240059314548,0.723365150085628,-0.467204000639527,1.08394628192927
"YCL067C",0,0,NA,NA,NA,NA
"YHL006C",5.17959689203736,4.81026667178909,0.696363072124524,0.928695180735774,-0.106722946506434,0.157164267419401
"YGL109W",1.99127866698955,0.882972733900173,0.003099047438196,0.44341997357661,-1.17325433791868,2.50877177581329
"YDR223W",11.1149655997308,5.49378474942715,0.0427163184574253,0.49426916351052,-1.01663119253302,1.36940618440935
"YLR043C",82.4970674813351,93.9603398471775,0.375126176804046,1.1389536951533,0.187709094604704,0.425822629144693
"YJR062C",15.4906430007081,13.11399717784,0.257144700259348,0.84657539246373,-0.240289540658738,0.589822422040301
"YBR035C",29.3332765715205,31.1345321259403,0.765790085222113,1.06140655818071,0.0859773679619869,0.115890260815702
"YNL167C",16.3334547493181,14.3075981925914,0.367488928056254,0.875968887916301,-0.191048464839404,0.434755741087292
"YAL060W",49.9278543307924,29.7596868236747,0.00299211815356737,0.596053790465431,-0.746485563300607,2.52402126093152
"YIL144W",15.5457398776941,8.84029708047625,0.0328696142534422,0.568663643546539,-0.814352523675756,1.48320539262006
"YIL133C",170.468525460698,193.068039453372,0.26932529751765,1.13257294231647,0.179603968708093,0.569722851726533
"YLR193C",8.90793315606819,7.85120859557697,0.426383039672127,0.881372643689926,-0.182175976381119,0.370200078660892
"YJL200C",38.8175873855921,30.9134863555491,0.0818641545419226,0.796378354184455,-0.328474086203554,1.08690621902562
"YBR148W",2.07656951834461,1.45605831264272,0.226505167909276,0.701184477466208,-0.512134036226306,0.644921884737783
"YPL113C",4.06414462764641,2.26119088264757,0.00535710136945127,0.55637559432944,-0.845868958098738,2.27107013563633
"YKL041W",12.5096992250122,12.0834325400704,0.834042372579076,0.965925105210402,-0.0500167635182125,0.0788118849619999
"YNL067W",132.616885803868,117.06258926944,0.197613230833463,0.882712548706416,-0.179984387559195,0.704183981379967
"YDR089W",37.8243014747285,13.5058833196987,0.00043204463847819,0.357068942270418,-1.48572544060784,3.36447137993685
